gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000124164	VAPB	5.7764	1971
ENSG00000078304	PPP2R5C	5.7737	1972
ENSG00000157837	SPPL3	5.7719	1973
ENSG00000175216	CKAP5	5.7713	1974
ENSG00000197747	S100A10	5.7712	1975
ENSG00000189266	PNRC2	5.7712	1976
ENSG00000157014	TATDN2	5.7708	1977
ENSG00000167470	MIDN	5.7704	1978
ENSG00000076984	MAP2K7	5.7702	1979
ENSG00000077348	EXOSC5	5.7697	1980
ENSG00000183605	SFXN4	5.7694	1981
ENSG00000151576	QTRT2	5.7679	1982
ENSG00000144354	CDCA7	5.7669	1983
ENSG00000135679	MDM2	5.766	1984
ENSG00000182173	TSEN54	5.7657	1985
ENSG00000100294	MCAT	5.7655	1986
ENSG00000172500	FIBP	5.7652	1987
ENSG00000044574	HSPA5	5.7651	1988
ENSG00000263465	SRSF8	5.765	1989
ENSG00000145736	GTF2H2	5.7643	1990
ENSG00000006712	PAF1	5.7641	1991
ENSG00000160410	SHKBP1	5.7639	1992
ENSG00000182831	HAPSTR1	5.7638	1993
ENSG00000273749	CYFIP1	5.7637	1994
ENSG00000087995	METTL2A	5.762	1995
ENSG00000054523	KIF1B	5.7612	1996
ENSG00000160799	CCDC12	5.7611	1997
ENSG00000129245	FXR2	5.7605	1998
ENSG00000102978	POLR2C	5.7604	1999
ENSG00000115233	PSMD14	5.7602	2000
ENSG00000059122	FLYWCH1	5.7597	2001
ENSG00000136156	ITM2B	5.7597	2002
ENSG00000124006	OBSL1	5.7588	2003
ENSG00000149100	EIF3M	5.7588	2004
ENSG00000140650	PMM2	5.7568	2005
ENSG00000104549	SQLE	5.7566	2006
ENSG00000103326	CAPN15	5.7557	2007
ENSG00000113282	CLINT1	5.7554	2008
ENSG00000167671	UBXN6	5.7544	2009
ENSG00000071626	DAZAP1	5.7542	2010
ENSG00000136068	FLNB	5.7541	2011
ENSG00000114503	NCBP2	5.7532	2012
ENSG00000147099	HDAC8	5.7528	2013
ENSG00000101811	CSTF2	5.7528	2014
ENSG00000063241	ISOC2	5.7524	2015
ENSG00000214160	ALG3	5.7523	2016
ENSG00000105063	PPP6R1	5.7518	2017
ENSG00000115946	PNO1	5.7507	2018
ENSG00000090905	TNRC6A	5.7503	2019
ENSG00000007520	TSR3	5.7502	2020
ENSG00000163939	PBRM1	5.7494	2021
ENSG00000093010	COMT	5.7491	2022
ENSG00000068903	SIRT2	5.7482	2023
ENSG00000138085	ATRAID	5.7481	2024
ENSG00000115306	SPTBN1	5.7473	2025
ENSG00000105518	TMEM205	5.7468	2026
ENSG00000160953	PWWP3A	5.7465	2027
ENSG00000129103	SUMF2	5.7459	2028
ENSG00000197586	ENTPD6	5.7455	2029
ENSG00000064999	ANKS1A	5.7442	2030
ENSG00000127526	SLC35E1	5.7441	2031
ENSG00000183011	NAA38	5.7436	2032
ENSG00000104907	TRMT1	5.7402	2033
ENSG00000204560	DHX16	5.7401	2034
ENSG00000140750	ARHGAP17	5.74	2035
ENSG00000185630	PBX1	5.7397	2036
ENSG00000047249	ATP6V1H	5.7397	2037
ENSG00000143633	C1orf131	5.7391	2038
ENSG00000140612	SEC11A	5.7389	2039
ENSG00000134057	CCNB1	5.7381	2040
ENSG00000175224	ATG13	5.7376	2041
ENSG00000171603	CLSTN1	5.7371	2042
ENSG00000135723	FHOD1	5.7364	2043
ENSG00000115866	DARS1	5.7363	2044
ENSG00000011243	AKAP8L	5.7339	2045
ENSG00000113716	HMGXB3	5.733	2046
ENSG00000144591	GMPPA	5.7327	2047
ENSG00000134697	GNL2	5.7321	2048
ENSG00000129197	RPAIN	5.732	2049
ENSG00000124207	CSE1L	5.7315	2050
ENSG00000165802	NSMF	5.7313	2051
ENSG00000102910	LONP2	5.7313	2052
ENSG00000197903	H2BC12	5.7309	2053
ENSG00000142396	ERVK3-1	5.7308	2054
ENSG00000121940	CLCC1	5.7307	2055
ENSG00000145740	SLC30A5	5.7303	2056
ENSG00000102172	SMS	5.7303	2057
ENSG00000109606	DHX15	5.7273	2058
ENSG00000180957	PITPNB	5.726	2059
ENSG00000166848	TERF2IP	5.7254	2060
ENSG00000113719	ERGIC1	5.7247	2061
ENSG00000158545	ZC3H18	5.7238	2062
ENSG00000123179	EBPL	5.723	2063
ENSG00000185515	BRCC3	5.7222	2064
ENSG00000177383	MAGEF1	5.7221	2065
ENSG00000187555	USP7	5.722	2066
ENSG00000144524	COPS7B	5.7215	2067
ENSG00000133318	RTN3	5.7211	2068
ENSG00000130227	XPO7	5.7189	2069
ENSG00000006125	AP2B1	5.7172	2070
ENSG00000105127	AKAP8	5.7157	2071
ENSG00000140395	SKIC8	5.7157	2072
ENSG00000163170	BOLA3	5.7156	2073
ENSG00000040633	PHF23	5.7153	2074
ENSG00000146457	WTAP	5.7146	2075
ENSG00000153879	CEBPG	5.7141	2076
ENSG00000198663	C6orf89	5.7125	2077
ENSG00000133773	CCDC59	5.7124	2078
ENSG00000133313	CNDP2	5.7121	2079
ENSG00000134809	TIMM10	5.7108	2080
ENSG00000166313	APBB1	5.7105	2081
ENSG00000112242	E2F3	5.7094	2082
ENSG00000101350	KIF3B	5.7087	2083
ENSG00000169021	UQCRFS1	5.708	2084
ENSG00000114125	RNF7	5.7072	2085
ENSG00000196405	EVL	5.7068	2086
ENSG00000104679	R3HCC1	5.7064	2087
ENSG00000144867	SRPRB	5.7061	2088
ENSG00000132768	DPH2	5.7061	2089
ENSG00000178896	EXOSC4	5.7056	2090
ENSG00000204619	PPP1R11	5.7055	2091
ENSG00000198805	PNP	5.7038	2092
ENSG00000122218	COPA	5.7038	2093
ENSG00000125952	MAX	5.703	2094
ENSG00000128714	HOXD13	5.7022	2095
ENSG00000166123	GPT2	5.7021	2096
ENSG00000165704	HPRT1	5.7014	2097
ENSG00000108064	TFAM	5.7013	2098
ENSG00000132330	SCLY	5.7011	2099
ENSG00000185686	PRAME	5.6985	2100
ENSG00000001630	CYP51A1	5.6983	2101
ENSG00000144711	IQSEC1	5.6974	2102
ENSG00000143751	SDE2	5.6971	2103
ENSG00000074356	NCBP3	5.6959	2104
ENSG00000121022	COPS5	5.6955	2105
ENSG00000075914	EXOSC7	5.6949	2106
ENSG00000133134	BEX2	5.6946	2107
ENSG00000073614	KDM5A	5.6944	2108
ENSG00000124535	WRNIP1	5.6922	2109
ENSG00000166797	CIAO2A	5.6907	2110
ENSG00000102158	MAGT1	5.6906	2111
ENSG00000118971	CCND2	5.6899	2112
ENSG00000109920	FNBP4	5.6863	2113
ENSG00000168118	RAB4A	5.6863	2114
ENSG00000224877	NDUFAF8	5.6848	2115
ENSG00000143393	PI4KB	5.6832	2116
ENSG00000127948	POR	5.683	2117
ENSG00000196199	MPHOSPH8	5.6828	2118
ENSG00000130717	UCK1	5.6827	2119
ENSG00000008952	SEC62	5.6826	2120
ENSG00000076043	REXO2	5.6803	2121
ENSG00000139546	TARBP2	5.6798	2122
ENSG00000146063	TRIM41	5.679	2123
ENSG00000172466	ZNF24	5.6786	2124
ENSG00000108010	GLRX3	5.6768	2125
ENSG00000183751	TBL3	5.6767	2126
ENSG00000111707	SUDS3	5.6758	2127
ENSG00000143977	SNRPG	5.6758	2128
ENSG00000157637	SLC38A10	5.6757	2129
ENSG00000131149	GSE1	5.6745	2130
ENSG00000079819	EPB41L2	5.6741	2131
ENSG00000185619	PCGF3	5.6735	2132
ENSG00000149541	B3GAT3	5.673	2133
ENSG00000248333	CDK11B	5.673	2134
ENSG00000181191	PJA1	5.6727	2135
ENSG00000132024	CC2D1A	5.6718	2136
ENSG00000053371	AKR7A2	5.6714	2137
ENSG00000077097	TOP2B	5.6713	2138
ENSG00000108465	CDK5RAP3	5.6704	2139
ENSG00000058673	ZC3H11A	5.6691	2140
ENSG00000155366	RHOC	5.669	2141
ENSG00000100099	HPS4	5.6686	2142
ENSG00000105258	POLR2I	5.6678	2143
ENSG00000060971	ACAA1	5.6666	2144
ENSG00000104812	GYS1	5.6665	2145
ENSG00000291237	SOD2	5.6659	2146
ENSG00000109084	TMEM97	5.6635	2147
ENSG00000170584	NUDCD2	5.6625	2148
ENSG00000128829	EIF2AK4	5.6622	2149
ENSG00000034713	GABARAPL2	5.6622	2150
ENSG00000196363	WDR5	5.6609	2151
ENSG00000142687	KIAA0319L	5.6607	2152
ENSG00000099385	BCL7C	5.6603	2153
ENSG00000198909	MAP3K3	5.6597	2154
ENSG00000187634	SAMD11	5.6569	2155
ENSG00000167693	NXN	5.6558	2156
ENSG00000160193	WDR4	5.6543	2157
ENSG00000137210	TMEM14B	5.6533	2158
ENSG00000162377	COA7	5.6516	2159
ENSG00000158850	B4GALT3	5.6516	2160
ENSG00000116786	PLEKHM2	5.6507	2161
ENSG00000065518	NDUFB4	5.6505	2162
ENSG00000148834	GSTO1	5.6482	2163
ENSG00000213593	TMX2	5.6482	2164
ENSG00000100221	JOSD1	5.648	2165
ENSG00000160959	LRRC14	5.6479	2166
ENSG00000292343	AKAP17A	5.6457	2167
ENSG00000134440	NARS1	5.6449	2168
ENSG00000006007	GDE1	5.6438	2169
ENSG00000151353	TMEM18	5.6433	2170
ENSG00000112473	SLC39A7	5.6433	2171
ENSG00000159842	ABR	5.6432	2172
ENSG00000177302	TOP3A	5.6427	2173
ENSG00000089486	CDIP1	5.6427	2174
ENSG00000184207	PGP	5.6419	2175
ENSG00000167004	PDIA3	5.6408	2176
ENSG00000185803	SLC52A2	5.6403	2177
ENSG00000077782	FGFR1	5.6387	2178
ENSG00000148840	PPRC1	5.6386	2179
ENSG00000082516	GEMIN5	5.6379	2180
ENSG00000197498	RPF2	5.6365	2181
ENSG00000115275	MOGS	5.6359	2182
ENSG00000168209	DDIT4	5.6346	2183
ENSG00000174840	PDE12	5.6341	2184
ENSG00000127838	PNKD	5.6324	2185
ENSG00000150593	PDCD4	5.6319	2186
ENSG00000002549	LAP3	5.6314	2187
ENSG00000137710	RDX	5.6314	2188
ENSG00000089063	TMEM230	5.6281	2189
ENSG00000100300	TSPO	5.6279	2190
ENSG00000105655	ISYNA1	5.627	2191
ENSG00000125630	POLR1B	5.6267	2192
ENSG00000111665	CDCA3	5.6263	2193
ENSG00000138757	G3BP2	5.6263	2194
ENSG00000244462	RBM12	5.626	2195
ENSG00000173905	GOLIM4	5.6259	2196
ENSG00000105583	WDR83OS	5.6246	2197
ENSG00000067533	RRP15	5.6246	2198
ENSG00000100865	CINP	5.6245	2199
ENSG00000262919	CCNQ	5.6221	2200
ENSG00000214087	ARL16	5.6218	2201
ENSG00000168701	TMEM208	5.621	2202
ENSG00000164713	BRI3	5.6206	2203
ENSG00000204308	RNF5	5.6202	2204
ENSG00000010165	METTL13	5.6196	2205
ENSG00000179151	EDC3	5.6196	2206
ENSG00000066135	KDM4A	5.6195	2207
ENSG00000131381	RBSN	5.6184	2208
ENSG00000139697	SBNO1	5.618	2209
ENSG00000103249	CLCN7	5.6178	2210
ENSG00000101972	STAG2	5.6178	2211
ENSG00000159131	GART	5.6178	2212
ENSG00000165138	ANKS6	5.6173	2213
ENSG00000020256	ZFP64	5.6169	2214
ENSG00000103429	BFAR	5.6165	2215
ENSG00000135250	SRPK2	5.6165	2216
ENSG00000069011	PITX1	5.6138	2217
ENSG00000162623	TYW3	5.6123	2218
ENSG00000130299	GTPBP3	5.6118	2219
ENSG00000097007	ABL1	5.6115	2220
ENSG00000035403	VCL	5.6115	2221
ENSG00000116580	GON4L	5.6101	2222
ENSG00000174917	MICOS13	5.6096	2223
ENSG00000125459	MSTO1	5.6095	2224
ENSG00000162813	BPNT1	5.6093	2225
ENSG00000112759	SLC29A1	5.6088	2226
ENSG00000204104	TRAF3IP1	5.6088	2227
ENSG00000113194	FAF2	5.6082	2228
ENSG00000168286	THAP11	5.6079	2229
ENSG00000070610	GBA2	5.6072	2230
ENSG00000130159	ECSIT	5.6064	2231
ENSG00000159479	MED8	5.6062	2232
ENSG00000114353	GNAI2	5.6058	2233
ENSG00000101146	RAE1	5.6052	2234
ENSG00000143493	INTS7	5.6033	2235
ENSG00000170248	PDCD6IP	5.6031	2236
ENSG00000149503	INCENP	5.602	2237
ENSG00000013523	ANGEL1	5.6015	2238
ENSG00000127663	KDM4B	5.6002	2239
ENSG00000169682	SPNS1	5.5999	2240
ENSG00000139641	ESYT1	5.5994	2241
ENSG00000136811	ODF2	5.5986	2242
ENSG00000110442	COMMD9	5.5983	2243
ENSG00000188735	TMEM120B	5.5983	2244
ENSG00000176022	B3GALT6	5.5975	2245
ENSG00000148362	PAXX	5.5965	2246
ENSG00000141741	MIEN1	5.5961	2247
ENSG00000111412	SPRING1	5.5949	2248
ENSG00000182158	CREB3L2	5.5933	2249
ENSG00000178307	TMEM11	5.5922	2250
ENSG00000103591	AAGAB	5.591	2251
ENSG00000176171	BNIP3	5.5907	2252
ENSG00000173638	SLC19A1	5.5904	2253
ENSG00000078061	ARAF	5.5903	2254
ENSG00000068745	IP6K2	5.5896	2255
ENSG00000136877	FPGS	5.5892	2256
ENSG00000197965	MPZL1	5.5892	2257
ENSG00000141279	NPEPPS	5.5892	2258
ENSG00000122545	SEPTIN7	5.5892	2259
ENSG00000188938	FAM120AOS	5.5888	2260
ENSG00000144674	GOLGA4	5.5887	2261
ENSG00000185085	INTS5	5.5887	2262
ENSG00000109046	WSB1	5.5879	2263
ENSG00000169692	AGPAT2	5.5877	2264
ENSG00000247315	ZCCHC3	5.5877	2265
ENSG00000166135	HIF1AN	5.5874	2266
ENSG00000131558	EXOC4	5.5865	2267
ENSG00000196821	ILRUN	5.5859	2268
ENSG00000137038	DMAC1	5.5859	2269
ENSG00000109919	MTCH2	5.5854	2270
ENSG00000100902	PSMA6	5.5854	2271
ENSG00000095139	ARCN1	5.5853	2272
ENSG00000103005	USB1	5.5852	2273
ENSG00000158321	AUTS2	5.5845	2274
ENSG00000113811	SELENOK	5.5839	2275
ENSG00000167967	E4F1	5.5838	2276
ENSG00000119596	YLPM1	5.5837	2277
ENSG00000113739	STC2	5.5834	2278
ENSG00000186298	PPP1CC	5.5832	2279
ENSG00000130202	NECTIN2	5.5819	2280
ENSG00000271793		5.5802	2281
ENSG00000165934	CPSF2	5.5796	2282
ENSG00000130522	JUND	5.5794	2283
ENSG00000213463	SYNJ2BP	5.5786	2284
ENSG00000157326	DHRS4	5.5779	2285
ENSG00000140829	DHX38	5.5775	2286
ENSG00000136891	TEX10	5.5771	2287
ENSG00000130939	UBE4B	5.5755	2288
ENSG00000133884	DPF2	5.5753	2289
ENSG00000127554	GFER	5.5741	2290
ENSG00000040275	SPDL1	5.5736	2291
ENSG00000169592	INO80E	5.5722	2292
ENSG00000118707	TGIF2	5.5715	2293
ENSG00000186566	GPATCH8	5.5705	2294
ENSG00000144560	VGLL4	5.5704	2295
ENSG00000117133	RPF1	5.5695	2296
ENSG00000065057	NTHL1	5.569	2297
ENSG00000156928	MALSU1	5.5689	2298
ENSG00000119688	ABCD4	5.5664	2299
ENSG00000113360	DROSHA	5.5657	2300
ENSG00000125484	GTF3C4	5.5652	2301
ENSG00000172062	SMN1	5.5649	2302
ENSG00000185504	FAAP100	5.5648	2303
ENSG00000101181	MTG2	5.5648	2304
ENSG00000100162	CENPM	5.5637	2305
ENSG00000119760	SUPT7L	5.5636	2306
ENSG00000185963	BICD2	5.5626	2307
ENSG00000173327	MAP3K11	5.5626	2308
ENSG00000185722	ANKFY1	5.5616	2309
ENSG00000143748	NVL	5.5615	2310
ENSG00000175970	UNC119B	5.5607	2311
ENSG00000136933	RABEPK	5.5601	2312
ENSG00000170779	CDCA4	5.56	2313
ENSG00000126062	TMEM115	5.5598	2314
ENSG00000168172	HOOK3	5.5583	2315
ENSG00000173207	CKS1B	5.5583	2316
ENSG00000152767	FARP1	5.5578	2317
ENSG00000156675	RAB11FIP1	5.5574	2318
ENSG00000183726	TMEM50A	5.5568	2319
ENSG00000185104	FAF1	5.5565	2320
ENSG00000163866	SMIM12	5.5553	2321
ENSG00000203760	CENPW	5.5553	2322
ENSG00000176783	RUFY1	5.5536	2323
ENSG00000137203	TFAP2A	5.5526	2324
ENSG00000136463	TACO1	5.5517	2325
ENSG00000137996	RTCA	5.5506	2326
ENSG00000138778	CENPE	5.55	2327
ENSG00000092203	TOX4	5.5492	2328
ENSG00000100321	SYNGR1	5.5486	2329
ENSG00000117411	B4GALT2	5.5482	2330
ENSG00000135763	URB2	5.5481	2331
ENSG00000132670	PTPRA	5.548	2332
ENSG00000138430	OLA1	5.5457	2333
ENSG00000163374	YY1AP1	5.5451	2334
ENSG00000198937	CCDC167	5.545	2335
ENSG00000196584	XRCC2	5.5442	2336
ENSG00000130479	MAP1S	5.5433	2337
ENSG00000163933	RFT1	5.5424	2338
ENSG00000043355	ZIC2	5.5423	2339
ENSG00000156853	ZNF689	5.5423	2340
ENSG00000064490	RFXANK	5.5422	2341
ENSG00000111358	GTF2H3	5.5417	2342
ENSG00000104915	STX10	5.5417	2343
ENSG00000170088	TMEM192	5.541	2344
ENSG00000140941	MAP1LC3B	5.5409	2345
ENSG00000133835	HSD17B4	5.5407	2346
ENSG00000112983	BRD8	5.5402	2347
ENSG00000184232	OAF	5.5395	2348
ENSG00000096401	CDC5L	5.5394	2349
ENSG00000240849	PEDS1	5.5391	2350
ENSG00000167118	URM1	5.5378	2351
ENSG00000104722	NEFM	5.5369	2352
ENSG00000205572	SERF1B	5.5363	2353
ENSG00000198736	MSRB1	5.5363	2354
ENSG00000152291	TGOLN2	5.5359	2355
ENSG00000132466	ANKRD17	5.5358	2356
ENSG00000198917	SPOUT1	5.5353	2357
ENSG00000275023	MLLT6	5.5345	2358
ENSG00000174021	GNG5	5.5331	2359
ENSG00000154832	CXXC1	5.5324	2360
ENSG00000189339	SLC35E2B	5.5308	2361
ENSG00000008294	SPAG9	5.5297	2362
ENSG00000110200	ANAPC15	5.5292	2363
ENSG00000100911	PSME2	5.5279	2364
ENSG00000150776	NKAPD1	5.527	2365
ENSG00000153827	TRIP12	5.527	2366
ENSG00000136682	ZNG1B	5.527	2367
ENSG00000163161	ERCC3	5.525	2368
ENSG00000143222	UFC1	5.5249	2369
ENSG00000198816	ZNF358	5.5247	2370
ENSG00000149257	SERPINH1	5.5245	2371
ENSG00000196498	NCOR2	5.5245	2372
ENSG00000173960	UBXN2A	5.5238	2373
ENSG00000148341	SH3GLB2	5.5237	2374
ENSG00000130429	ARPC1B	5.523	2375
ENSG00000106609	TMEM248	5.5226	2376
ENSG00000124571	XPO5	5.522	2377
ENSG00000188243	COMMD6	5.5205	2378
ENSG00000101019	UQCC1	5.5181	2379
ENSG00000175567	UCP2	5.5181	2380
ENSG00000134049	IER3IP1	5.5181	2381
ENSG00000204392	LSM2	5.5174	2382
ENSG00000205981	DNAJC19	5.5171	2383
ENSG00000105011	ASF1B	5.5171	2384
ENSG00000113575	PPP2CA	5.5167	2385
ENSG00000164687	FABP5	5.5167	2386
ENSG00000117868	ESYT2	5.5167	2387
ENSG00000115762	PLEKHB2	5.5149	2388
ENSG00000164040	PGRMC2	5.5136	2389
ENSG00000028310	BRD9	5.5135	2390
ENSG00000111897	SERINC1	5.5131	2391
ENSG00000086712	TXLNG	5.513	2392
ENSG00000118939	UCHL3	5.513	2393
ENSG00000131507	NDFIP1	5.5119	2394
ENSG00000095485	CWF19L1	5.5114	2395
ENSG00000067900	ROCK1	5.5111	2396
ENSG00000143499	SMYD2	5.5108	2397
ENSG00000168818	STX18	5.5108	2398
ENSG00000132405	TBC1D14	5.5108	2399
ENSG00000114439	BBX	5.5106	2400
ENSG00000173801	JUP	5.5106	2401
ENSG00000109113	RAB34	5.5097	2402
ENSG00000125733	TRIP10	5.5096	2403
ENSG00000110074	FOXRED1	5.5094	2404
ENSG00000127603	MACF1	5.5082	2405
ENSG00000101189	MRGBP	5.5071	2406
ENSG00000129810	SGO1	5.506	2407
ENSG00000160305	DIP2A	5.5055	2408
ENSG00000178188	SH2B1	5.5053	2409
ENSG00000213523	SRA1	5.505	2410
ENSG00000156467	UQCRB	5.5045	2411
ENSG00000196305	IARS1	5.5028	2412
ENSG00000105221	AKT2	5.502	2413
ENSG00000057608	GDI2	5.5012	2414
ENSG00000125885	MCM8	5.5006	2415
ENSG00000196141	SPATS2L	5.5006	2416
ENSG00000107164	FUBP3	5.5004	2417
ENSG00000168303	MPLKIP	5.4999	2418
ENSG00000205670	SMIM11	5.4993	2419
ENSG00000126456	IRF3	5.4986	2420
ENSG00000099956	SMARCB1	5.4983	2421
ENSG00000129657	SEC14L1	5.4977	2422
ENSG00000144283	PKP4	5.4975	2423
ENSG00000142192	APP	5.4974	2424
ENSG00000101193	GID8	5.4971	2425
ENSG00000050820	BCAR1	5.4958	2426
ENSG00000168610	STAT3	5.4958	2427
ENSG00000175602	CCDC85B	5.4946	2428
ENSG00000085185	BCORL1	5.4941	2429
ENSG00000102572	STK24	5.4939	2430
ENSG00000163001	CFAP36	5.4939	2431
ENSG00000116586	LAMTOR2	5.4935	2432
ENSG00000161057	PSMC2	5.493	2433
ENSG00000137074	APTX	5.4924	2434
ENSG00000135111	TBX3	5.4919	2435
ENSG00000116062	MSH6	5.4916	2436
ENSG00000178761	FAM219B	5.4916	2437
ENSG00000114767	RRP9	5.4894	2438
ENSG00000105229	PIAS4	5.4891	2439
ENSG00000163156	SCNM1	5.489	2440
ENSG00000235162	C12orf75	5.4884	2441
ENSG00000142252	GEMIN7	5.4883	2442
ENSG00000243156	MICAL3	5.4874	2443
ENSG00000096060	FKBP5	5.4863	2444
ENSG00000163875	MEAF6	5.4861	2445
ENSG00000108262	GIT1	5.4861	2446
ENSG00000160113	NR2F6	5.4854	2447
ENSG00000172943	PHF8	5.4853	2448
ENSG00000182473	EXOC7	5.4851	2449
ENSG00000126581	BECN1	5.4851	2450
ENSG00000122873	CISD1	5.4845	2451
ENSG00000116830	TTF2	5.4845	2452
ENSG00000184281	TSSC4	5.4835	2453
ENSG00000198355	PIM3	5.4832	2454
ENSG00000135597	REPS1	5.4825	2455
ENSG00000008130	NADK	5.4816	2456
ENSG00000153391	INO80C	5.4813	2457
ENSG00000182979	MTA1	5.4812	2458
ENSG00000143614	GATAD2B	5.4806	2459
ENSG00000143933	CALM2	5.4804	2460
ENSG00000112578	BYSL	5.4779	2461
ENSG00000162073	PAQR4	5.4769	2462
ENSG00000093000	NUP50	5.4753	2463
ENSG00000106211	HSPB1	5.4746	2464
ENSG00000071889	FAM3A	5.4745	2465
ENSG00000170348	TMED10	5.4745	2466
ENSG00000189043	NDUFA4	5.4742	2467
ENSG00000141127	PRPSAP2	5.4734	2468
ENSG00000196914	ARHGEF12	5.4728	2469
ENSG00000055332	EIF2AK2	5.4728	2470
ENSG00000132824	SERINC3	5.4722	2471
ENSG00000239779	WBP1	5.4722	2472
ENSG00000075340	ADD2	5.4701	2473
ENSG00000270629	NBPF14	5.4695	2474
ENSG00000188130	MAPK12	5.4691	2475
ENSG00000127586	CHTF18	5.4679	2476
ENSG00000120942	UBIAD1	5.4676	2477
ENSG00000164548	TRA2A	5.4672	2478
ENSG00000181817	LSM10	5.4658	2479
ENSG00000101940	WDR13	5.4654	2480
ENSG00000127914	AKAP9	5.4649	2481
ENSG00000146535	GNA12	5.4649	2482
ENSG00000144567	RETREG2	5.4645	2483
ENSG00000171861	MRM3	5.4636	2484
ENSG00000180035	ZNF48	5.4636	2485
ENSG00000168214	RBPJ	5.4632	2486
ENSG00000100284	TOM1	5.4627	2487
ENSG00000071539	TRIP13	5.4622	2488
ENSG00000164611	PTTG1	5.4615	2489
ENSG00000162735	PEX19	5.4615	2490
ENSG00000141873	SLC39A3	5.4612	2491
ENSG00000079459	FDFT1	5.4605	2492
ENSG00000153044	CENPH	5.4603	2493
ENSG00000070495	JMJD6	5.4602	2494
ENSG00000109062	NHERF1	5.4595	2495
ENSG00000101109	STK4	5.4591	2496
ENSG00000087586	AURKA	5.4591	2497
ENSG00000105223	PLD3	5.4588	2498
ENSG00000135766	EGLN1	5.458	2499
ENSG00000136261	BZW2	5.458	2500
ENSG00000006831	ADIPOR2	5.4576	2501
ENSG00000181789	COPG1	5.4568	2502
ENSG00000143815	LBR	5.4547	2503
ENSG00000148399	DPH7	5.4545	2504
ENSG00000197982	C1orf122	5.4541	2505
ENSG00000184428	TOP1MT	5.4537	2506
ENSG00000165526	RPUSD4	5.4534	2507
ENSG00000197620	EOLA1	5.4531	2508
ENSG00000184205	TSPYL2	5.4522	2509
ENSG00000130340	SNX9	5.4521	2510
ENSG00000136193	SCRN1	5.452	2511
ENSG00000166260	COX11	5.452	2512
ENSG00000074695	LMAN1	5.452	2513
ENSG00000164051	CCDC51	5.4519	2514
ENSG00000166166	TRMT61A	5.4515	2515
ENSG00000141258	SGSM2	5.4508	2516
ENSG00000145147	SLIT2	5.4507	2517
ENSG00000137700	SLC37A4	5.4503	2518
ENSG00000077380	DYNC1I2	5.4467	2519
ENSG00000106052	TAX1BP1	5.4458	2520
ENSG00000133597	ADCK2	5.4455	2521
ENSG00000005156	LIG3	5.4451	2522
ENSG00000117020	AKT3	5.4444	2523
ENSG00000138674	SEC31A	5.4438	2524
ENSG00000138074	SLC5A6	5.4418	2525
ENSG00000172354	GNB2	5.4405	2526
ENSG00000143013	LMO4	5.4404	2527
ENSG00000198498	TMA16	5.4377	2528
ENSG00000164967	RPP25L	5.4375	2529
ENSG00000182827	ACBD3	5.4374	2530
ENSG00000143811	PYCR2	5.4365	2531
ENSG00000173821	RNF213	5.4359	2532
ENSG00000164818	DNAAF5	5.4342	2533
ENSG00000181029	TRAPPC5	5.4328	2534
ENSG00000144043	TEX261	5.4314	2535
ENSG00000145216	FIP1L1	5.4313	2536
ENSG00000164402	SEPTIN8	5.4311	2537
ENSG00000134072	CAMK1	5.4294	2538
ENSG00000053254	FOXN3	5.4289	2539
ENSG00000007392	LUC7L	5.4282	2540
ENSG00000123485	HJURP	5.4279	2541
ENSG00000213160	KLHL23	5.4279	2542
ENSG00000116459	ATP5PB	5.4268	2543
ENSG00000197081	IGF2R	5.4267	2544
ENSG00000184014	DENND5A	5.425	2545
ENSG00000132305	IMMT	5.4243	2546
ENSG00000100442	FKBP3	5.4243	2547
ENSG00000012061	ERCC1	5.4235	2548
ENSG00000063854	HAGH	5.4234	2549
ENSG00000234545	FAM133B	5.4231	2550
ENSG00000170632	ARMC10	5.4225	2551
ENSG00000099203	TMED1	5.4225	2552
ENSG00000213672	NCKIPSD	5.4216	2553
ENSG00000164111	ANXA5	5.4216	2554
ENSG00000089289	IGBP1	5.4212	2555
ENSG00000011009	LYPLA2	5.4211	2556
ENSG00000104805	NUCB1	5.4205	2557
ENSG00000177830	CHID1	5.4204	2558
ENSG00000126945	HNRNPH2	5.4202	2559
ENSG00000114383	TUSC2	5.4194	2560
ENSG00000123374	CDK2	5.4187	2561
ENSG00000130294	KIF1A	5.4186	2562
ENSG00000070831	CDC42	5.4172	2563
ENSG00000136247	ZDHHC4	5.417	2564
ENSG00000143374	TARS2	5.4165	2565
ENSG00000174684	B4GAT1	5.4143	2566
ENSG00000166347	CYB5A	5.4137	2567
ENSG00000105355	PLIN3	5.4135	2568
ENSG00000128602	SMO	5.4116	2569
ENSG00000019995	ZRANB1	5.4115	2570
ENSG00000143753	DEGS1	5.4113	2571
ENSG00000104731	KLHDC4	5.4108	2572
ENSG00000172939	OXSR1	5.4103	2573
ENSG00000164828	SUN1	5.4095	2574
ENSG00000179348	GATA2	5.4089	2575
ENSG00000149091	DGKZ	5.4085	2576
ENSG00000170860	LSM3	5.4083	2577
ENSG00000115839	RAB3GAP1	5.4083	2578
ENSG00000136827	TOR1A	5.4077	2579
ENSG00000143545	RAB13	5.4075	2580
ENSG00000104613	INTS10	5.4059	2581
ENSG00000197771	MCMBP	5.4051	2582
